P,I,D
 46.6901, 39.2588, -4.8122
 45.8005, 39.5854, -1.5858
 49.6683, 39.9380,  6.8642
 48.8492, 40.2847, -1.4538
 50.8386, 40.6470,  3.5438
 52.0540, 41.0174,  2.1622
 52.2803, 41.3878,  0.4008
 53.0716, 41.7686,  1.4195
 53.9209, 42.1508,  1.5051
 55.2177, 42.5442,  2.3093
 58.6432, 42.9589,  6.0565
 61.1271, 43.3944,  4.4247
 66.5854, 43.8684,  9.7130
 68.2693, 44.3535,  2.9915
 69.4852, 44.8468,  2.1579
 66.7508, 45.3210, -4.8561
 64.1689, 45.7776, -4.5930
 65.6811, 46.2459,  2.6957
 70.4239, 46.7473,  8.4427
 70.4052, 47.2471, -0.0332
 77.8978, 47.8065, 13.4507
 80.9953, 48.3781,  5.4654
 90.3725, 49.0225, 16.7152
 94.2968, 49.6908,  6.9525
 89.0460, 50.3212, -9.2932
 86.4480, 50.9363, -4.6217
 82.3882, 51.5218, -7.2122
 79.0203, 52.0865, -6.0176
 83.3513, 52.6778,  7.6811
 95.5814, 53.3605, 21.8372
