Angle, P,I,D
  0.3004, -1.4720,-11.6767,  1.7266
  0.2292, -1.1229,-11.7009,  1.1411
  0.2237, -1.0963,-11.7247,  0.0873
  0.2196, -1.0762,-11.7480,  0.0659
  0.1775, -0.8698,-11.7669,  0.6800
  0.2405, -1.1784,-11.7922, -1.0046
  0.2049, -1.0040,-11.8140,  0.5732
  0.2451, -1.2008,-11.8399, -0.6445
  0.2010, -0.9848,-11.8612,  0.7077
  0.0633, -0.3101,-11.8679,  2.2060
  0.0404, -0.1982,-11.8722,  0.3685
  0.0000,  0.0000,-11.8722,  0.6471
  0.0000,  0.0000,-11.8722,  0.0000
